#
# Lammps qfile data base from OpenBabel (https://github.com/openbabel/openbabel/blob/master/data/qeq.txt)
#
# Parameters:
#
#   Elt: Element symbol
#   chi = Eneg: Atomic electronegativity (Volts) * 2 (Note: Actually, chi = electronegativity in energy units = Eneg)
#   eta = Hard: Atomic (chemical) hardness (Volts/e) (Note: Actually, eta = self-Coulomb potential in energy units = Hard/2)
#   gamma = shielded Coulomb constant defined by ReaxFF force field in distance units
#     Radius: screening radius (Angstrom)
#   zeta = Slater type orbital exponent defined by the Streitz-Mintmire potential in reverse distance units
#     Parameters: (Slater exponent in Bohr as 0.4913(2n+1)/2R)
#   qcore = charge of the nucleus defined by the Streitz-Mintmire potential potential in charge units
# Elt	chi(Xi*2)	eta(Hardness)	gamma(Radius)	zeta(SlaterExp)	qcore(n)	GaussianExp
H	9.056	13.8904	0.8271	1.05115	1	5.34E-01
He	19.32	29.84	1.764	0.29998	1	5.16E-02
Li	6.012	4.772	2.4076	0.41745	2	1.67E-01
Be	9.754	8.886	1.293	0.52416	2	5.64E-02
B	10.22	9.5	1.2094	0.79071	2	1.28E-01
C	10.686	10.126	1.1346	0.85634	2	2.07E-01
N	13.798	11.76	0.977	0.90904	2	2.21E-01
O	17.482	13.364	0.8597	0.97154	2	2.24E-01
F	21.748	14.948	0.7686	0.92063	2	2.31E-01
Ne	22.08	21.1	1.4394	0.36763	2	2.77E-02
Na	5.686	4.592	2.502	0.43643	3	9.59E-02
Mg	7.902	7.386	1.5555	0.60663	3	3.88E-02
Al	8.12	7.18	1.6002	0.75766	3	6.05E-02
Si	8.336	6.974	1.6474	0.77376	3	1.05E-01
P	10.926	8	1.4362	0.82572	3	1.08E-01
S	13.856	8.972	1.2806	0.8691	3	1.16E-01
Cl	17.128	9.892	1.1615	0.91544	3	1.14E-01
Ar	18.93	12.71	1.2259	0.43166	3	1.96E-02
K	4.842	3.84	2.992	0.45241	4	6.02E-02
Ca	6.462	5.76	1.9947	0.58497	4	2.20E-02
Sc	6.79	6.16	1.8651	0.66853	4	2.87E-02
Ti	6.94	6.76	1.6996	0.72802	4	3.40E-02
V	7.3	6.82	1.6846	0.79587	4	4.07E-02
Cr	6.83	7.73	1.4863	0.83447	4	4.47E-02
Mn	6.65	8.21	1.3994	0.76316	4	3.74E-02
Fe	7.52	8.28	1.3876	0.83986	4	4.53E-02
Co	8.21	8.35	1.376	0.8321	4	4.45E-02
Ni	8.93	8.41	1.3661	0.83686	4	4.50E-02
Cu	8.4	8.44	1.3613	0.81585	4	4.28E-02
Zn	10.212	8.57	1.3406	0.83567	4	4.49E-02
Ga	7.282	6.32	1.8179	0.96609	4	5.99E-02
Ge	8.102	6.876	1.6709	0.98396	4	6.22E-02
As	10.376	7.618	1.5082	0.9717	4	6.06E-02
Se	12.856	8.262	1.3906	0.95583	4	5.87E-02
Br	15.58	8.85	1.2982	1.02536	4	7.01E-02
Kr	17.01	11.43	1.0268	0.51539	4	1.71E-02
Rb	4.662	3.692	3.1119	0.51622	5	4.20E-02
Sr	6.048	4.88	2.3544	0.5921	5	1.51E-02
Y	7.66	5.62	2.0444	0.71567	5	2.22E-02
Zr	6.8	7.1	1.6182	0.81338	5	2.86E-02
Nb	7.1	6.76	1.6996	0.89203	5	3.44E-02
Mo	6.93	7.51	1.5299	0.93459	5	3.78E-02
Tc	6.58	7.98	1.4398	0.95328	5	3.93E-02
Ru	7.15	8.03	1.4308	0.95328	5	3.93E-02
Rh	7.95	8.01	1.4344	0.94759	5	3.89E-02
Pd	8.64	8	1.4362	0.92611	5	3.71E-02
Ag	8.872	6.268	1.833	0.88158	5	3.36E-02
Cd	10.068	7.914	1.4518	0.8937	5	3.46E-02
In	7.012	5.792	1.9836	1.01846	5	4.49E-02
Sn	7.974	6.248	1.8389	1.05607	5	4.83E-02
Sb	9.798	6.684	1.7189	1.01846	5	4.49E-02
Te	11.632	7.052	1.6292	1.03617	5	4.65E-02
I	13.644	7.524	1.527	1.07271	5	6.86E-02
Xe	15.19	9.95	1.1547	0.5815	5	1.46E-02
Cs	4.366	3.422	3.3575	0.56632	6	3.07E-02
Ba	5.628	4.792	2.3976	0.69202	6	1.49E-02
La	5.671	5.483	2.0954	0.81598	6	2.07E-02
Ce	5.548	5.384	2.134	0.87787	6	2.40E-02
Pr	5.716	5.128	2.2405	0.842	6	2.21E-02
Nd	5.737	5.241	2.1922	0.842	6	2.21E-02
Pm	5.762	5.346	2.1491	0.84495	6	2.22E-02
Sm	5.823	5.439	2.1124	0.85435	6	2.27E-02
