#
# Lammps qfile data base from OpenBabel (https://github.com/openbabel/openbabel/blob/master/data/qeq.txt)
#
# Parameters:
#
#   Elt: Element symbol
#   chi = Eneg: Atomic electronegativity (Volts) * 2 (Note: Actually, chi = electronegativity in energy units = Eneg)
#   eta = Hard: Atomic (chemical) hardness (Volts/e) (Note: Actually, eta = self-Coulomb potential in energy units = Hard/2)
#   gamma = shielded Coulomb constant defined by ReaxFF force field in distance units
#     Radius: screening radius (Angstrom)
#   zeta = Slater type orbital exponent defined by the Streitz-Mintmire potential in reverse distance units
#     Parameters: (Slater exponent in Bohr as 0.4913(2n+1)/2R)
#   qcore = charge of the nucleus defined by the Streitz-Mintmire potential potential in charge units
# Elt	chi(Xi*2)	eta(Hardness)	gamma(Radius)	zeta(SlaterExp)	qcore(n)	GaussianExp
Eu	5.757	5.575	2.0609	0.75882	6	1.79E-02
Gd	6.333	5.949	1.9313	0.85869	6	2.30E-02
Tb	6.036	5.668	2.027	0.86484	6	2.33E-02
Dy	6.111	5.743	2.0006	0.87379	6	2.38E-02
Ho	6.254	5.782	1.9871	0.87787	6	2.40E-02
Er	6.373	5.829	1.9711	0.88245	6	2.43E-02
Tm	6.5028	5.8658	1.9587	0.84495	6	2.22E-02
Yb	6.5778	5.93	1.9375	0.78309	6	1.91E-02
Lu	5.9258	4.9258	2.3325	0.8913	6	2.47E-02
Hf	7.4	6.8	1.6896	0.96072	6	2.88E-02
Ta	10.2	5.7	2.0157	1.0529	6	3.45E-02
W	9.26	6.62	1.7355	1.09877	6	3.76E-02
Re	7.92	7.84	1.4655	1.05619	6	3.48E-02
Os	10.28	7.26	1.5825	0.99406	6	3.08E-02
Ir	10	8	1.4362	0.90563	6	2.56E-02
Pt	9.58	8.86	1.2968	1.08536	6	3.67E-02
Au	9.788	5.172	2.2214	1.04444	6	3.40E-02
Hg	12.54	8.32	1.3809	1.05619	6	3.48E-02
Tl	6.4	5.8	1.9809	1.10451	6	3.80E-02
Pb	7.8	7.06	1.6274	1.17029	6	4.27E-02
Bi	9.38	7.48	1.536	1.11618	6	3.88E-02
Po	8.42	8.42	1.3645	1.14183	6	4.06E-02
At	9.5	9.5	1.2094	1.14959	6	4.12E-02
Rn	10.74	10.74	1.0698	0.76814	6	1.84E-02
Fr	4	4	2.8723	0.84778	7	1.69E-02
Ra	5.686	4.868	2.3602	0.88631	7	1.84E-02
Ac	5.67	5.67	2.0263	0.92499	7	2.01E-02
Th	6.35	5.81	1.9775	0.96625	7	2.19E-02
Pa	5.97	5.81	1.9775	1.08327	7	2.76E-02
U	6.682	5.706	2.0135	1.13829	7	3.05E-02
Np	7.098	5.434	2.1143	1.08327	7	2.76E-02
Pu	6.486	5.638	2.0378	1.05972	7	2.64E-02
Am	5.979	6.007	1.9126	1.00406	7	2.37E-02
Cm	5.663	6.379	1.8011	1.02626	7	2.48E-02
Bk	6.387	6.071	1.8925	1.02626	7	2.48E-02
Cf	6.394	6.202	1.8525	1.02626	7	2.48E-02
Es	6.666	6.178	1.8597	1.02626	7	2.48E-02
Fm	6.8	6.2	1.8531	1.02626	7	2.48E-02
Md	6.94	6.22	1.8471	1.02626	7	2.48E-02
No	6.95	6.35	1.8093	1.02626	7	2.48E-02
Lr	7	6.4	1.7952	1.02626	7	2.48E-02
